
		//雪图事件

		"descent_of_winterblight_aertega"							"艾特嘎"
		"winterblight_cavern_room1_event2_description"				"密室中将会出现若干只极寒幽魂."

		"winterblight_cavern_room1_event3"							"维度之门"
		"winterblight_cavern_room1_event3_description"				"敌人的浪潮从维度之门产生。所有敌人根据事件等级获得每级1%每秒的生命回复，上限为20% ."

		"winterblight_cavern_room1_event4"							"马库里奥的水晶争夺战"
		"winterblight_cavern_room1_event4_description"				"5颗水晶将会增幅马库里奥召唤出的怪物的能力.对水晶造成伤害可使指定颜色的增幅暂时消失20秒."

		"winterblight_cavern_room2_event1"							"标准模式"
		"winterblight_cavern_room2_event1_description"				"你将与大量普通的怪物交战."

		"winterblight_cavern_room2_event2"							"维度之门"
		"winterblight_cavern_room2_event2_description"				"敌人的浪潮从维度之门产生. 所有敌人根据事件等级获得每级10% 移动速度和 5%攻击速度."

		"winterblight_cavern_room2_event3"							"剿灭雷肤兽"
		"winterblight_cavern_room2_event3_description"				"巨大的雷肤兽的蛋布满了整个密室. 蛋中孵化出的雷肤兽拥有随机且强大的被动技能."

		"winterblight_cavern_room2_event4"							"巨兽之怒"
		"winterblight_cavern_room2_event4_description"				"击败房间中的三只巨兽，奥西罗斯、古诺尔夫和斯威本."

		"winterblight_cavern_room3_event1"							"标准模式"
		"winterblight_cavern_room3_event1_description"				"你将与大量普通的怪物交战."

		"winterblight_cavern_room3_event2"							"维度之门"
		"winterblight_cavern_room3_event2_description"				"敌人的浪潮从维度之门产生. 所有敌人根据事件等级获得每级10% 的攻击力."

		"winterblight_cavern_room3_event3"							"疯狂的蘑菇"
		"winterblight_cavern_room3_event3_description"				"疯狂的蘑菇在整个水晶之地中繁殖。整个密室都被混乱的孢子污染了."

		"winterblight_cavern_room3_event4"							"深海侵袭"
		"winterblight_cavern_room3_event4_description"				"这个密室被洪水淹没，被来自遥远的失落深海要塞的生物入侵。当一个怪物死了，会立刻孵化出下一只."

		"winterblight_cavern_room4_event1"							"标准模式"
		"winterblight_cavern_room4_event1_description"				"你将与大量普通的怪物交战."

		"winterblight_cavern_room4_event2"							"维度之门"
		"winterblight_cavern_room4_event2_description"				"敌人的浪潮从维度之门产生. 所有敌人根据挑战等级获得每级100 护甲和 2% 闪避."

		"winterblight_cavern_room4_event3"							"克洛诺斯的复仇 "
		"winterblight_cavern_room4_event3_description"				"数以百计的克洛诺斯克隆体从密室的黑星中产生. 同时存在的敌人数量根据密室挑战等级提高，每2级增加1个."

		"winterblight_cavern_room4_event4"							"反重力"
		"winterblight_cavern_room4_event4_description"				"黑洞会产生各种各样的敌人，并把英雄拉向它. 所有单位和英雄的技能都只有1秒的冷却时间."


		"winterblight_cavern_status_prefix"								"状态:"
		"winterblight_cavern_status_inactive"								"未开启"
		"winterblight_cavern_status_active"								"进行中"

		"winterblight_cavern_fragments"								"遗物碎片:"

		"winterblight_1_stone"										"传说 使用1个凛冬冰川"
		"winterblight_2_stone"										"传说 使用2个凛冬冰川"
		"winterblight_3_stone"										"传说 使用3个凛冬冰川"

		"winterblight_no_max"										"无上限"
		"winterblight_event_max_yours"								"你的英雄的挑战等级"
		"winterblight_event_max"									"最大挑战等级"	
		"event_level_input"											"选择这次挑战的强度级别"
		"start_chamber_event"										"开始密室挑战"

		"cavern_record_yours_hero"									"你的最高纪录 当使用"
		"cavern_record_yours_all"									"你最高的全期纪录"
		"cavern_record_global_hero"									"全球最高纪录 当使用"	
		"cavern_record_global_all"									"全球最高纪录"
		"cavern_ui_failed"											"失败"		
		"cavern_ui_completed"										"完成"	
		"cavern_ui_no_record"										"无纪录"	
		
		//MOUNTAIN ASCENT + CASTLE UNITS

		"winterblight_snowvil_brute"								"残忍食人魔"
		"winterblight_mountain_tree"								"侵略松木"
		"winterblight_snowvil_shaman"			"雪山萨满"
		"winterblight_snowvil_chieftain"		"雪山萨满酋长"
		"winterblight_composed_rubble"			"合成冰石"
		"winterblight_owl_sentry"			"霜枯哨鸦"
		"winterblight_haunter"				"鬼斯通"
		"winterblight_hinterlands_guardian"		"腹地守卫者"
		"winterblight_demonoid"				"霜枯邪魔"
		"winterblight_yozario"				"亚扎里奥"
		"winterblight_mountain_tombstone"		"霜枯墓碑"
		"winterblight_snowvil_bloodeater"		"雪山嗜血者"
		"winterblight_frozen_soul"			"冻魂"
		"winterblight_wraithguard"			"幽魂守卫"
		"winterblight_wraithguard_elite"		"精英幽魂守卫"
		"winterblight_grave_ghost"			"坟头鬼"
		"winterblight_frozen_phantom"			"冻结幻影"
		"winterblight_frozen_cage"			"冻结囚笼"
		"winterblight_frozen_mage"			"冻结法师"
		"winterblight_skeleton_archer"			"霜枯骷髅射手"
		"winterblight_defiler"				"亵渎者"
		"winterblight_baron_moredi"			"骑士王 巴伦·莫雷蒂"
		"winterblight_lich_king_sonder"			"骷髅王 松德"
		"winterblight_wrath_queen_asyria"		"亡灵女王 阿塞莉娅"
		"winterblight_accursed"				"诅咒寒尸"
		"winterblight_mountain_spirit"			"霜枯之灵"
		"winterblight_ancient_mountain_spirit"		"远古霜枯之灵"
		"winterblight_soul_fletcher"			"灵魂射手"
		"winterblight_black_gargoyle"			"霜枯城堡石像鬼"
		"winterblight_draugr"				"霜枯汲魂者"
		"winterblight_diviner_horus"			"占卜家 荷鲁斯"
		"winterblight_castle_warrior"			"城堡战士"
		"winterblight_castle_watchman"			"城堡看守"
		"winterblight_skull_ripper"			"开颅者"
		"winterblight_suffering_spirit"			"受折磨的灵魂"
		"winterblight_elite_ghoul"			"精英食尸鬼"
		"winterblight_elite_castle_warrior"		"精英城堡战士"
		"winterblight_cellar_spider_mother"		"育母蜘蛛"
		"winterblight_spider_egg_sack"			"蜘蛛蛋"
		"winterblight_egg_spider"			"剧毒蜘蛛"
		"winterblight_invading_spider"			"侵袭蜘蛛"
		"winterblight_ice_harbor_mini_boss"		"凛冬霜枯 极寒冰龙"
		"winterblight_spike_trap"			"钉刺陷阱"
		"winterblight_ground_blade"			"血腥锯片"
		"winterblight_corrupted_corpse"			"腐尸"
		"winterblight_bloodripper"			"开膛手"
		"winterblight_torturer"				"恶毒的折磨者"
		"winterblight_ghost_pirate"			"霜枯幽灵海盗"
		"winterblight_castle_shadow_of_saturn"		"土星之影"
		"winterblight_saturn_zealot"			"土星狂热者"
		"winterblight_slime_goblin"			"史莱姆哥布林"
		"winterblight_fallen_one"			"失足者"
		"winterblight_armory_rock"			"军械库之石"
		"winterblight_sun_rubble"			"太阳碎片"
		"winterblight_ice_bear"				"北境之熊"
		"winterblight_gold_fanatic"			"金之狂徒"
		"winterblight_treasure_room_tower"		"黄金高塔"
		"winterblight_treasure_zombie"			"宝箱僵尸"
		"winterblight_treasure_chest"			"宝箱"
		"winterblight_castle_graviton"			"引力"
		"winterblight_moon_warden"			"暗月典狱长"
		"winterblight_blue_slime_monster"		"显眼的蓝史莱姆"
		"winterblight_slime_zombie"			"史莱姆僵尸"
		"winterblight_castle_boss"			"巫妖王 克鲁克斯"
		"winterblight_castle_boss_surrogate"		"克鲁克斯"
		"winterblight_castle_boss_surrogate_hanged"	"巫妖王的化身"
		"winterblight_haunt_magician"			"纠缠之魔术师"
		"winterblight_red_magician"			"绯红之魔术师"
		"winterblight_green_magician"			"翠绿之魔术师"
		"winterblight_blue_magician"			"碧蓝之魔术师"
		"winterblight_shadow_priestess"			"暗影女祭司"
		"winter_castle_faceless_empress"		"无面女皇"
		"winterblight_emperors_servant"			"皇帝的仆从"
		"winterblight_slime_emperor"			"史莱姆皇帝"
		"winterblight_necro_knight"			"死灵骑士"
		"winterblight_lovers_heart_path"		"恋人"
		"winterblight_dual_drake"			"二元之德雷克"
		"winterblight_galren"				"Galren"
		"winterblight_elyna"				"Elyna"
		"winterblight_serpent_nachash"			"大蛇 纳哈什"
		"winterblight_castle_strength_spine_drake"	"巨脊德雷克"
		"winterblight_lost_gladiator"			"迷失的角斗士"
		"winterblight_hermit_eye"			"隐者之眼"
		"winterblight_castle_hermit_hoodling"		"暴徒"
		"winterblight_castle_elite_hermit_hoodling"	"精英暴徒"
		"winterblight_lonely_hermit"			"孤独的隐者"
		"winterblight_shadow_wanderer"			"暗影行者"
		"winterblight_blue_goo_gunman"			"幽灵猎人基恩斯"
		"winterblight_castle_justice_angel"		"正义的天使"
		"winterblight_castle_justice_demon"		"正义的魔鬼"
		"winterblight_castle_justice_arch_angel_matheus" "天使 马修斯"
		"winterblight_castle_justice_arch_demon_hellmouth"	"魔鬼 地狱之口"
		"winterblight_castle_justice_balance"		"均衡化身"
		"winterblight_hanging_slayer"			"绞杀者"
		"winterblight_water_bearer"			"宝瓶座"
		"winterblight_winterblight_devil_watcher"	"恶魔守望者"
		"winterblight_winterblight_devil_warrior"	"恶魔战士"
		"winterblight_winterblight_elite_devil_warrior"	"精英恶魔战士"
		"winterblight_devil_baphomet"			"巴风特"
		"winterblight_bloody_faceripper"		"血腥开膛手"
		"winterblight_star_watcher"			"观星者"
		"winterblight_lumos_king"			"国王 卢默斯"
		"winterblight_castle_werewolf"			"凛冬霜枯城堡狼人"
		"winterblight_elite_castle_werewolf"		"凛冬霜枯城堡精英狼人"
		"winterblight_temple_sun_crow"			"太阳神殿乌鸦"
		"winterblight_heat_fletcher"			"热炉"
		"winterblight_elite_heat_fletcher"		"精英热炉"
		"winterblight_iron_sun_warrior"			"钢铁烈阳战士"
		"winterblight_aspect_of_solos"			"独奏位面"
		"winterblight_judgement_fallen"			"堕落"
		"winterblight_judgement_judge"			"法官 贝雷瑟"
		"winterblight_world_commander_vorethrex"	"世界指挥官 沃雷特雷克斯"
		"winterblight_paragon_of_judgement"		"审判天秤"
		"winterblight_high_priest_xelethar"		"大祭司 希勒塔尔"
		"winterblight_bishop_of_hades"			"哈迪斯的主教"
		"winterblight_castle_star_miniboss"		"游离的女伯爵"
		"winterblight_empress_emasz"			"女皇 艾玛兹"

		//MOUNTAIN ASCENT + CASTLE ABILITIES

		"DOTA_Tooltip_ability_winterblight_mountain_rubble_ice_burst"	"碎石冰爆"
		"DOTA_Tooltip_ability_winterblight_mountain_rubble_ice_burst_Description"	"持续施法 0.8 秒后, 释放一股伤害性的冰爆, 减速和眩晕范围内的敌人"
		"DOTA_Tooltip_ability_winterblight_mountain_rubble_ice_burst_stun_duration"	"眩晕时间:"
		"DOTA_Tooltip_ability_winterblight_mountain_rubble_ice_burst_damage"		"伤害:"
		"DOTA_Tooltip_ability_winterblight_mountain_rubble_ice_burst_as_slow"		"攻速降低:"
		"DOTA_Tooltip_ability_winterblight_mountain_rubble_ice_burst_ms_slow"		"移速降低:"

		"DOTA_Tooltip_modifier_mountain_rubble_slow"					"冰爆减速"

		"DOTA_Tooltip_ability_winterblight_owl_sentry_passive"				"霜枯哨兵"
		"DOTA_Tooltip_ability_winterblight_owl_sentry_passive_Description"		"侦察入侵者"

		"DOTA_Tooltip_ability_winterblight_ice_lance"				"霜枯冰枪"
		"DOTA_Tooltip_ability_winterblight_ice_lance_Description"		"向目标位置投掷一枚冰冻弹，造成冲击伤害"
		"DOTA_Tooltip_ability_winterblight_ice_lance_damage"			"伤害:"

		"DOTA_Tooltip_modifier_ice_lance_cold"						"冰枪冻结"

		"DOTA_Tooltip_ability_winterblight_demonoid_passive"			"狂猎"
		"DOTA_Tooltip_ability_winterblight_demonoid_passive_Description"	"被动提高攻击力"
		"DOTA_Tooltip_ability_winterblight_demonoid_passive_attack_power_bonus"	"% 额外攻击力:"

		"DOTA_Tooltip_modifier_demonoid_passive"					"狂猎"
		"DOTA_Tooltip_modifier_demonoid_passive_Description"		"提高攻击力"

		"DOTA_Tooltip_ability_winterblight_glint_of_onu"			"隐秘绝技"
		"DOTA_Tooltip_ability_winterblight_glint_of_onu_Description"		"攻击有概率传送到目标敌人的位置并在短时间内获得额外攻击速度."
		"DOTA_Tooltip_ability_winterblight_glint_of_onu_attack_speed_bonus"		"额外攻击速度:"
		"DOTA_Tooltip_ability_winterblight_glint_of_onu_proc_chance"		"触发概率:"

		"DOTA_Tooltip_ability_mountain_tombstone_ability"			"恐怖尖叫"
		"DOTA_Tooltip_ability_mountain_tombstone_ability_Description"		"墓碑在痛苦中翻腾"
		"DOTA_Tooltip_ability_mountain_tombstone_ability_petrify_duration"	"石化时间:"
		"DOTA_Tooltip_ability_mountain_tombstone_ability_damage"		"尖叫伤害:"

		"DOTA_Tooltip_modifier_looking_at_tombstone_stacks"			"空洞凝视"

		"DOTA_Tooltip_ability_winterblight_wraithfire_blast"			"幽火子弹"
		"DOTA_Tooltip_ability_winterblight_wraithfire_blast_Description"	"把一个可怕的头骨扔向目标位置。被击中的目标将被眩晕"
		"DOTA_Tooltip_ability_winterblight_wraithfire_blast_range"		"范围:"
		"DOTA_Tooltip_ability_winterblight_wraithfire_blast_damage"		"伤害:"
		"DOTA_Tooltip_ability_winterblight_wraithfire_blast_stun_duration"	"眩晕时间:"

		"DOTA_Tooltip_modifier_hellfire_burn"							"幽火燃烧"

		"DOTA_Tooltip_ability_winterblight_winterblight_ghost_blink"			"鬼闪"
		"DOTA_Tooltip_ability_winterblight_winterblight_ghost_blink_Description"	"传送至目标区域"

		"DOTA_Tooltip_ability_winterblight_defiler_passive"			"玷污"
		"DOTA_Tooltip_ability_winterblight_defiler_passive_Description"	"攻击能对敌人施加debuff，降低他们的攻击力. 同时为自己添加一层buff以增加攻击力."
		"DOTA_Tooltip_ability_winterblight_defiler_passive_max_stacks"		"最大层数:"
		"DOTA_Tooltip_ability_winterblight_defiler_passive_duration"		"持续时间:"
		"DOTA_Tooltip_ability_winterblight_defiler_passive_damage_gain_per_stack"	"% 每层额外攻击力 (自己):"
		"DOTA_Tooltip_ability_winterblight_defiler_passive_damage_loss_per_stack"	"% 每层失去攻击力 (敌人):"

		"DOTA_Tooltip_modifier_defiler_attack_power_gain"				"玷污"
		"DOTA_Tooltip_modifier_defiler_attack_power_gain_Description"	"提高攻击力"

		"DOTA_Tooltip_modifier_defiler_attack_power_drain"				"玷污"
		"DOTA_Tooltip_modifier_defiler_attack_power_drain_Description"	"降低攻击力"

		"DOTA_Tooltip_ability_winter_grave_ghost_spark"			"鬼火"
		"DOTA_Tooltip_ability_winter_grave_ghost_spark_Description"	"向周围释放鬼火，麻痹敌人."
		"DOTA_Tooltip_ability_winter_grave_ghost_spark_base_damage"		"伤害:"
		"DOTA_Tooltip_ability_winter_grave_ghost_spark_paralyze_duration"		"麻痹持续时间:"

		"DOTA_Tooltip_ability_winterblight_asyria_passive"					"午夜女王"
		"DOTA_Tooltip_ability_winterblight_asyria_passive_Description"		"攻击时, 向前射出额外的箭，造成伤害并减速."
		"DOTA_Tooltip_ability_winterblight_asyria_passive_base_damage"		"箭基础伤害:"
		"DOTA_Tooltip_ability_winterblight_asyria_passive_percent_attack_power"	"% 箭的伤害来自 % 攻击力:"
		"DOTA_Tooltip_ability_winterblight_asyria_passive_movespeed_slow"	"减速:"
		"DOTA_Tooltip_ability_winterblight_asyria_passive_movespeed_slow_duration"	"减速时间:"
		"DOTA_Tooltip_ability_winterblight_asyria_passive_number_of_arrows"	"箭的数量:"

		"DOTA_Tooltip_modifier_asyria_arrow_slow"						"被冰冻"

		"DOTA_Tooltip_ability_winterblight_accursed_passive"			"诅咒"
		"DOTA_Tooltip_ability_winterblight_accursed_passive_Description"	"攻击造成额外纯粹伤害并缠绕目标. 同时提高生命回复速度."
		"DOTA_Tooltip_ability_winterblight_accursed_passive_bonus_pure_damage"		"额外纯粹伤害:"
		"DOTA_Tooltip_ability_winterblight_accursed_passive_root_duration"			"缠绕时间:"
		"DOTA_Tooltip_ability_winterblight_accursed_passive_health_regen_pct"		"% 生命回复:"

		"DOTA_Tooltip_modifier_accursed_effect"							"诅咒"
		"DOTA_Tooltip_modifier_accursed_effect_Description"				"被缠绕"		

		"DOTA_Tooltip_ability_winterblight_life_drain"					"汲魂"
		"DOTA_Tooltip_ability_winterblight_life_drain_Description"		"锁定范围内所有敌人, 使他们减速并持续损失生命值"
		"DOTA_Tooltip_ability_winterblight_life_drain_life_drain"		"生命值损失:"
		"DOTA_Tooltip_ability_winterblight_life_drain_life_drain_heal_mult"	"造成伤害的倍数治疗自身:"
		"DOTA_Tooltip_ability_winterblight_life_drain_life_movement_slow"	"% 减速:"

		"DOTA_Tooltip_modifier_life_drain_effect"						"汲魂"

		"DOTA_Tooltip_ability_winterblight_reincarnation"				"重生"
		"DOTA_Tooltip_ability_winterblight_reincarnation_Description"	"可以在死亡后复活. 进入冷却时不生效."	
		"DOTA_Tooltip_ability_winterblight_reincarnation_respawn_delay"	"复活延迟:"

		"DOTA_Tooltip_ability_winterblight_reaper_swipe"				"收割"
		"DOTA_Tooltip_ability_winterblight_reaper_swipe_Description"	"攻击召唤收割者，根据攻击力和目标的最大生命值造成额外的纯伤害"
		"DOTA_Tooltip_ability_winterblight_reaper_swipe_damage_pct_atk_power"	"% 伤害 根据% 攻击力:"
		"DOTA_Tooltip_ability_winterblight_reaper_swipe_damage_pct_max_healthr"	"% 伤害 根据% 目标最大生命值:"

		"DOTA_Tooltip_ability_elite_ghoul_ai"							"火花投掷"
		"DOTA_Tooltip_ability_elite_ghoul_ai_Description"				"使用可怕的火花伤害并眩晕敌人"
		"DOTA_Tooltip_ability_elite_ghoul_ai_base_damage"				"伤害:"
		"DOTA_Tooltip_ability_elite_ghoul_ai_base_paralyze_duration"	"麻痹时间:"

		"DOTA_Tooltip_ability_winterblight_venomous_bite"				"剧毒之咬"
		"DOTA_Tooltip_ability_winterblight_venomous_bite_Description"	"攻击使目标中毒，中毒者持续受到伤害并减速"	
		"DOTA_Tooltip_ability_winterblight_venomous_bite_damage_per_tick_per_stack"	"每层毒素伤害:"
		"DOTA_Tooltip_ability_winterblight_venomous_bite_move_slow_per_stack"		"% 每层损失移动速度:"
		"DOTA_Tooltip_ability_winterblight_venomous_bite_max_stacks"			"最大层数:"
		"DOTA_Tooltip_ability_winterblight_venomous_bite_duration"				"持续时间:"
		"DOTA_Tooltip_ability_winterblight_venomous_bite_damage_interval"		"每跳伤害:"

		"DOTA_Tooltip_modifier_winterblight_venomous_bite_effect"		"剧毒之咬"
		"DOTA_Tooltip_modifier_winterblight_venomous_bite_effect_Description"	"受到伤害并减速"

		"DOTA_Tooltip_winterblight_egg_sack_ability"					"蜘蛛蛋"
		"DOTA_Tooltip_winterblight_egg_sack_ability_Description"		"装满了蜘蛛"

		"DOTA_Tooltip_ability_winterblight_frost_wyrm_passive"			"冰之呼吸"
		"DOTA_Tooltip_ability_winterblight_frost_wyrm_passive_Description"	"攻击对范围内的敌人造成额外伤害并使他们减速"
		"DOTA_Tooltip_ability_winterblight_frost_wyrm_passive_damage"		"伤害:"
		"DOTA_Tooltip_ability_winterblight_frost_wyrm_passive_ms_loss"		"减速:"

		"DOTA_Tooltip_ability_winterblight_soulfire_storm_big"			"超级灵魂风暴"
		"DOTA_Tooltip_ability_winterblight_soulfire_storm_big_Description"	"用灵魂风暴覆盖一大片区域，造成冲击伤害并留下燃烧buff."
		"DOTA_Tooltip_ability_winterblight_soulfire_storm_big_wave_damage"	"每波伤害:"
		"DOTA_Tooltip_ability_winterblight_soulfire_storm_big_burn_damage"	"燃烧伤害:"

		"DOTA_Tooltip_ability_winterblight_spike_trap_passive"			"钉刺陷阱"
		"DOTA_Tooltip_ability_winterblight_spike_trap_passive_Description"	"踩在陷阱上的敌人将受到持续的纯粹伤害"
		"DOTA_Tooltip_ability_winterblight_spike_trap_passive_damage_base"		"基础伤害:"
		"DOTA_Tooltip_ability_winterblight_spike_trap_passive_damage_pct_max_health"	"% 伤害根据 % 目标最大生命值:"

		"DOTA_Tooltip_ability_winterblight_torturor_passive"			"撕裂"
		"DOTA_Tooltip_ability_winterblight_torturor_passive_Description"	"攻击使目标敌人流血3.5秒."
		"DOTA_Tooltip_ability_winterblight_torturor_passive_bleed_damage"	"流血伤害:"

		"DOTA_Tooltip_ability_winterblight_chilling_bite_aura"			"冰霜之咬光环"
		"DOTA_Tooltip_ability_winterblight_chilling_bite_aura_Description"	"范围内的敌人被冰柱锁定，冰柱会造成伤害并减速目标."
		"DOTA_Tooltip_ability_winterblight_chilling_bite_aura_as_loss"		"攻速降低:"
		"DOTA_Tooltip_ability_winterblight_chilling_bite_aura_ms_loss"		"移速降低:"
		"DOTA_Tooltip_ability_winterblight_chilling_bite_aura_aoe_radius"	"光环范围:"
		"DOTA_Tooltip_ability_winterblight_chilling_bite_aura_dmg_pct_atk_power"	"% 伤害根据 % 攻击力:"
		"DOTA_Tooltip_ability_winterblight_chilling_bite_aura_slow_duration"	"减速时间:"

		"DOTA_Tooltip_modifier_winterblight_chilling_bite_aura_chilled"		"冰霜之咬"

		"DOTA_Tooltip_ability_winterblight_rot"			"腐烂"
		"DOTA_Tooltip_ability_winterblight_rot_Description"	"周围的敌人被毒气减速并受到伤害."
		"DOTA_Tooltip_ability_winterblight_rot_as_loss"		"攻速降低:"
		"DOTA_Tooltip_ability_winterblight_rot_ms_loss"		"移速降低:"
		"DOTA_Tooltip_ability_winterblight_rot_aoe_radius"	"腐烂范围:"
		"DOTA_Tooltip_ability_winterblight_rot_dps"	"每秒伤害:"

		"DOTA_Tooltip_modifier_rot_effect"				"腐烂"

		"DOTA_Tooltip_ability_winterblight_shield_block"	"盾牌格挡"
		"DOTA_Tooltip_ability_winterblight_shield_block_Description"	"极大降低来自前方的伤害."
		"DOTA_Tooltip_ability_winterblight_shield_block_front_damage_block"	"% 伤害减免:"

		"DOTA_Tooltip_modifier_shield_block"				"盾牌格挡"
		"DOTA_Tooltip_modifier_shield_block_Description"	"降低前方的伤害"

		"DOTA_Tooltip_ability_winterblight_ice_bear_passive"	"狂暴"
		"DOTA_Tooltip_ability_winterblight_ice_bear_passive_Description"	"每次攻击叠加一层buff，短暂提高攻击力和攻击速度."
		"DOTA_Tooltip_ability_winterblight_ice_bear_passive_duration"		"持续时间:"
		"DOTA_Tooltip_ability_winterblight_ice_bear_passive_max_stacks"		"最大层数:"
		"DOTA_Tooltip_ability_winterblight_ice_bear_passive_base_attack_per_stack"	"每层额外攻击力:"
		"DOTA_Tooltip_ability_winterblight_ice_bear_passive_bonus_as_per_stack"		"每层额外攻击速度:"

		"DOTA_Tooltip_modifier_ice_bear_attack_buff"			"狂热"
		"DOTA_Tooltip_modifier_ice_bear_attack_buff_Description"	"提高攻击力和攻击速度"

		"DOTA_Tooltip_ability_winterblight_moon_warden_passive"		"月瀑"
		"DOTA_Tooltip_ability_winterblight_moon_warden_passive_Description"	"沉默并伤害范围内的敌人"
		"DOTA_Tooltip_ability_winterblight_moon_warden_passive_damage"		"伤害:"	
		"DOTA_Tooltip_ability_winterblight_moon_warden_passive_silence_duration"	"沉默时间:"	

		"DOTA_Tooltip_ability_blue_slimeling_passive"				"史莱姆投掷"
		"DOTA_Tooltip_ability_blue_slimeling_passive_Description"	"攻击造成范围魔法伤害并施加减速buff"	
		"DOTA_Tooltip_ability_blue_slimeling_passive_attack_speed_loss" 	"攻速降低:"
		"DOTA_Tooltip_ability_blue_slimeling_passive_movespeed_loss"			"移速降低:"
		"DOTA_Tooltip_ability_blue_slimeling_passive_bonus_aoe_magic_damage"	"范围魔法伤害:"
		"DOTA_Tooltip_ability_blue_slimeling_passive_sticky_duration"			"持续时间:"

		"DOTA_Tooltip_modifier_sticky_blue"							"粘粘蓝史莱姆"
		"DOTA_Tooltip_modifier_sticky_blue_Description"				"被减速"	

		"DOTA_Tooltip_ability_blue_slime_ghoul_passive"				"史莱姆冲击"
		"DOTA_Tooltip_ability_blue_slime_ghoul_passive_Description"	"攻击造成范围魔法伤害并施加减速buff"	
		"DOTA_Tooltip_ability_blue_slime_ghoul_passive_attack_speed_loss" 	"攻速降低:"
		"DOTA_Tooltip_ability_blue_slime_ghoul_passive_movespeed_loss"			"移速降低:"
		"DOTA_Tooltip_ability_blue_slime_ghoul_passive_bonus_aoe_magic_damage"	"范围魔法伤害:"
		"DOTA_Tooltip_ability_blue_slime_ghoul_passive_sticky_duration"			"持续时间:"

		"DOTA_Tooltip_ability_winterblight_castle_boss_passive"		"巫妖王之怒"
		"DOTA_Tooltip_ability_winterblight_castle_boss_passive_Description"	"巫妖王克鲁克斯的手中全是神兵利器."
		"DOTA_Tooltip_ability_winterblight_castle_boss_passive_nuke_damage"		"伤害:"
		"DOTA_Tooltip_ability_winterblight_castle_boss_passive_slow_duration"	"减速时间:"
		"DOTA_Tooltip_ability_winterblight_castle_boss_passive_burn_damage"		"灼烧伤害:"
		"DOTA_Tooltip_ability_winterblight_castle_boss_passive_chain_frost_damage"	"连环霜冻伤害:"	
		"DOTA_Tooltip_ability_winterblight_castle_boss_passive_chain_frost_ms_loss_pct"	"% 连环霜冻降低移速:"

		"DOTA_Tooltip_modifier_castle_boss_burning_slow"			"巫妖王之怒"
		"DOTA_Tooltip_modifier_castle_boss_burning_slow_Description"	"灼烧并被减速"

		"DOTA_Tooltip_ability_winterblight_castle_boss_surrogate_passive"	"替身"
		"DOTA_Tooltip_ability_winterblight_castle_boss_surrogate_passive_Description"	"克鲁克斯的化身"

		"DOTA_Tooltip_ability_winterblight_red_mage_flamethrower"			"红魔术师之火"
		"DOTA_Tooltip_ability_winterblight_red_mage_flamethrower_Description"	"持续施法，每0.1秒向周围投射火焰"
		"DOTA_Tooltip_ability_winterblight_red_mage_flamethrower_damage"		"伤害:"

		"DOTA_Tooltip_ability_winterblight_red_mage_attack_passive"			"红魔术师燃烧打击"
		"DOTA_Tooltip_ability_winterblight_red_mage_attack_passive_Description"	"攻击使目标燃烧，每秒受到伤害"
		"DOTA_Tooltip_ability_winterblight_red_mage_attack_passive_burn_damage"		"燃烧伤害:"
		"DOTA_Tooltip_ability_winterblight_red_mage_attack_passive_burn_duration"	"持续时间:"

		"DOTA_Tooltip_modifier_red_mage_burn"								"燃烧"

		"DOTA_Tooltip_ability_winterblight_green_mage_poison_spray"			"绿魔术师毒雾"
		"DOTA_Tooltip_ability_winterblight_green_mage_poison_spray_Description"	"向目标位置吐出毒球. 被影响的敌人受到持续伤害并减速."	
		"DOTA_Tooltip_ability_winterblight_green_mage_poison_spray_impact_damage"	"冲击伤害:"
		"DOTA_Tooltip_ability_winterblight_green_mage_poison_spray_dot_damage"		"持续伤害:"	
		"DOTA_Tooltip_ability_winterblight_green_mage_poison_spray_slow_ms_stacks"		"每层减速 :"

		"DOTA_Tooltip_modifier_green_mage_poison_slow"							"毒雾"
		"DOTA_Tooltip_modifier_green_mage_poison_slow_Description"				"减速并受到伤害"

		"DOTA_Tooltip_ability_winterblight_green_mage_attack_passive"			"绿魔术师剧毒之触"
		"DOTA_Tooltip_ability_winterblight_green_mage_attack_passive_Description"	"攻击使目标短暂中毒，每0.1秒受到伤害."
		"DOTA_Tooltip_ability_winterblight_green_mage_attack_passive_burn_damage"		"毒伤:"
		"DOTA_Tooltip_ability_winterblight_green_mage_attack_passive_burn_duration"	"持续时间:"

		"DOTA_Tooltip_modifier_green_mage_attack_poison"					"中毒"

		"DOTA_Tooltip_ability_winterblight_blue_mage_frost_nova"			"蓝魔术师冰霜新星"
		"DOTA_Tooltip_ability_winterblight_blue_mage_frost_nova_Description"	"召唤一片冰霜伤害并缠绕敌人."
		"DOTA_Tooltip_ability_winterblight_blue_mage_frost_nova_nova_damage"		"伤害:"
		"DOTA_Tooltip_ability_winterblight_blue_mage_frost_nova_root_duration"	"缠绕时间:"

		"DOTA_Tooltip_modifier_blue_mage_root"								"冰霜新星"
		"DOTA_Tooltip_modifier_blue_mage_root_Description"					"被缠绕"

		"DOTA_Tooltip_ability_winterblight_blue_damage_attack_passive"			"蓝魔术师寒冰之息"
